iter	Passed	Remaining
0	2	2866
1	6	3172
2	10	3365
3	13	3363
4	16	3372
5	20	3350
6	24	3428
7	28	3475
8	31	3496
9	35	3531
10	39	3553
11	43	3588
12	47	3579
13	50	3571
14	54	3577
15	58	3613
16	62	3606
17	65	3586
18	69	3591
19	73	3579
20	76	3574
21	80	3567
22	84	3572
23	87	3570
24	91	3568
25	95	3567
26	99	3577
27	102	3568
28	106	3564
29	110	3563
30	113	3556
31	117	3552
32	121	3554
33	125	3553
34	128	3549
35	132	3546
36	135	3530
37	139	3531
38	143	3523
39	146	3521
40	150	3521
41	154	3523
42	158	3521
43	162	3523
44	165	3516
45	169	3515
46	172	3503
47	176	3506
48	180	3509
49	184	3510
50	188	3503
51	191	3499
52	195	3499
53	199	3496
54	203	3492
55	206	3487
56	210	3487
57	214	3480
58	218	3480
59	221	3476
60	225	3474
61	229	3470
62	233	3469
63	237	3467
64	240	3462
65	244	3460
66	248	3456
67	252	3456
68	255	3450
69	259	3441
70	262	3437
71	266	3430
72	269	3421
73	273	3419
74	277	3419
75	280	3414
76	285	3417
77	289	3424
78	294	3429
79	299	3440
80	304	3449
81	307	3446
82	311	3443
83	315	3444
84	321	3457
85	326	3467
86	330	3466
87	334	3470
88	338	3469
89	342	3463
90	346	3461
91	359	3546
92	364	3555
93	369	3561
94	374	3570
95	380	3582
96	385	3585
97	391	3604
98	397	3613
99	401	3612
100	406	3614
101	410	3610
102	414	3608
103	418	3603
104	422	3598
105	425	3590
106	429	3585
107	433	3577
108	436	3571
109	440	3566
110	444	3558
111	448	3556
112	452	3548
113	455	3539
114	459	3532
115	462	3524
116	466	3519
117	470	3515
118	474	3511
119	477	3503
120	481	3497
121	485	3491
122	488	3486
123	492	3478
124	496	3472
125	499	3464
126	503	3460
127	507	3454
128	510	3449
129	514	3443
130	518	3437
131	522	3432
132	525	3427
133	529	3422
134	533	3416
135	536	3411
136	540	3405
137	544	3403
138	548	3397
139	552	3396
140	556	3387
141	558	3377
142	562	3368
143	566	3366
144	569	3359
145	573	3353
146	577	3351
147	581	3347
148	586	3347
149	589	3342
150	593	3335
151	597	3332
152	601	3327
153	604	3321
154	608	3317
155	612	3312
156	616	3307
157	619	3302
158	623	3297
159	626	3291
160	631	3290
161	635	3286
162	639	3281
163	642	3277
164	646	3272
165	650	3268
166	654	3262
167	658	3258
168	661	3254
169	665	3249
170	669	3244
171	673	3240
172	676	3233
173	680	3228
174	683	3223
175	687	3217
176	691	3214
177	695	3210
178	698	3204
179	702	3198
180	705	3193
